Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
< 1 Year,0,1,0,0,0,0,0,0,2,3,0,2,0,1,4,1,2,7,4,2,0,5,4,4,9,3,3,7,7,4,6,4,10,8,6,8
1-5 Years,156,148,184,184,164,167,183,158,163,151,195,187,173,158,179,137,162,163,155,152,155,141,152,107,136,115,132,139,112,93,145,121,120,116,118,119
6-10 Years,141,122,138,129,156,160,131,133,145,128,147,139,130,144,156,149,141,138,155,130,149,157,141,126,144,153,137,146,147,140,135,122,163,146,146,123
11-17 Years,358,432,497,397,440,428,432,437,408,434,409,430,454,445,528,486,491,584,578,479,506,465,429,392,461,393,405,417,454,436,376,344,348,372,366,407
18-34 Years,2353,2841,2975,2639,2746,2509,2414,2480,2519,2068,2070,2151,2012,2167,2205,2254,2265,2521,2492,2671,2514,2573,2684,2603,2570,2604,2487,2574,2624,2720,2815,2722,2867,2842,2697,2794
35-49 Years,5262,6195,6115,5527,5624,5225,5086,4957,4834,4363,4123,4180,4417,4484,4544,4460,4677,4771,4751,4834,4644,4666,4669,4652,4288,4342,4181,4162,4064,3925,3759,3630,3589,3461,3200,3289
50-64 Years,8879,9809,9492,8895,9142,8259,7937,7389,6736,6645,6850,6445,6679,6687,6552,6517,6519,6523,6167,5882,5483,5240,4912,4535,4208,3934,3647,3285,3070,2811,2674,2375,2243,2175,1918,1926
65 +,5550,5952,5269,5046,5129,4419,3666,3506,3071,3316,3102,2953,2951,2814,2661,2517,2377,2388,2183,1857,1687,1533,1288,1212,951,911,718,681,606,517,450,420,338,296,205,212
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
